"","id","titel","erscheinungsjahr","zeigedatum","gehostet_von"
"1","tt0062886","The Devil's Brigade",1968,NA,NA
"2","tt0074442","Crime Busters",1977,NA,NA
"3","tt0080339","Airplane!",1980,NA,NA
"4","tt0083907","The Evil Dead",1981,NA,NA
"5","tt0087148","Nonstop Trouble with the Family",1985,NA,NA
"6","tt0087481","Double Trouble",1984,NA,NA
"7","tt0088286","Top Secret!",1984,2021-03-06,NA
"8","tt0088763","Back to the Future",1985,NA,NA
"9","tt0092099","Top Gun",1986,NA,NA
"10","tt0092644","Beverly Hills Cop II",1987,NA,NA
"11","tt0094625","Akira",1988,NA,NA
"12","tt0094761","The Blob",1988,NA,NA
"13","tt0095016","Die Hard",1988,2021-10-02,NA
"14","tt0095327","Grave of the Fireflies",1988,NA,NA
"15","tt0095705","The Naked Gun: From the Files of Police Squad!",1988,2021-03-20,NA
"16","tt0098063","Paprika",1991,NA,NA
"17","tt0099685","Goodfellas",1990,NA,NA
"18","tt0100814","Tremors",1990,NA,NA
"19","tt0102059","Hot Shots!",1991,NA,NA
"20","tt0102926","The Silence of the Lambs",1991,NA,NA
"21","tt0103064","Terminator 2: Judgment Day",1991,NA,NA
"22","tt0105236","Reservoir Dogs",1992,NA,NA
"23","tt0107290","Jurassic Park",1993,NA,NA
"24","tt0107387","Leprechaun",1993,NA,NA
"25","tt0110443","Major Payne",1995,NA,NA
"26","tt0110912","Pulp Fiction",1994,NA,NA
"27","tt0111161","The Shawshank Redemption",1994,NA,NA
"28","tt0112159","Neon Genesis Evangelion",1995,NA,NA
"29","tt0112573","Braveheart",1995,NA,NA
"30","tt0112864","Die Hard: With a Vengeance",1995,NA,NA
"31","tt0113497","Jumanji",1995,NA,NA
"32","tt0114369","Se7en",1995,2021-11-20,NA
"33","tt0114746","12 Monkeys",1995,NA,NA
"34","tt0115697","Black Sheep",1996,NA,NA
"35","tt0116996","Mars Attacks!",1996,NA,NA
"36","tt0117500","The Rock",1996,NA,NA
"37","tt0118715","The Big Lebowski",1998,NA,NA
"38","tt0119698","Princess Mononoke",1997,2021-04-24,NA
"39","tt0120201","Starship Troopers",1997,NA,NA
"40","tt0120784","Payback",1999,NA,NA
"41","tt0120812","Rush Hour",1998,NA,NA
"42","tt0120915","Star Wars: Episode I - The Phantom Menace",1999,NA,NA
"43","tt0122151","Lethal Weapon 4",1998,NA,NA
"44","tt0123755","Cube",1997,NA,NA
"45","tt0133093","The Matrix",1999,NA,NA
"46","tt0137523","Fight Club",1999,2022-02-12,NA
"47","tt0142250","Dragon Ball: The Path to Power",1996,NA,NA
"48","tt0144084","American Psycho",2000,NA,NA
"49","tt0156887","Perfect Blue",1997,NA,NA
"50","tt0159273","Behind Enemy Lines",2001,NA,NA
"51","tt0172495","Gladiator",2000,NA,NA
"52","tt0193253","Jin-Roh",1999,NA,NA
"53","tt0209144","Memento",2000,2022-07-02,NA
"54","tt0238380","Equilibrium",2002,NA,NA
"55","tt0240468","Kung Pow: Enter the Fist",2002,NA,NA
"56","tt0245429","Chihiros Reise ins Zauberland",2001,NA,NA
"57","tt0248408","Der Schuh des Manitu",2001,NA,NA
"58","tt0257076","S.W.A.T.",2003,NA,NA
"59","tt0263488","Jeepers Creepers",2001,NA,NA
"60","tt0265343","Monsoon Wedding",2001,NA,NA
"61","tt0266697","Kill Bill: Vol. 1",2003,2021-12-18,NA
"62","tt0271367","Eight Legged Freaks",2002,NA,NA
"63","tt0272020","The Last Castle",2001,NA,NA
"64","tt0277434","We Were Soldiers",2002,NA,NA
"65","tt0281364","Wasabi",2001,NA,NA
"66","tt0289043","28 Days Later...",2002,2021-03-27,NA
"67","tt0293429","Mortal Kombat",2021,NA,NA
"68","tt0295297","Harry Potter and the Chamber of Secrets",2002,NA,NA
"69","tt0306047","Scary Movie 3",2003,NA,NA
"70","tt0318627","Resident Evil: Apocalypse",2004,NA,NA
"71","tt0325980","Pirates of the Caribbean: The Curse of the Black Pearl",2003,NA,NA
"72","tt0327554","Catwoman",2004,NA,NA
"73","tt0332452","Troy",2004,NA,NA
"74","tt0345950","The SpongeBob SquarePants Movie",2004,NA,NA
"75","tt0347149","Howl's Moving Castle",2004,NA,NA
"76","tt0347330","Cash Truck",2004,2021-09-18,NA
"77","tt0355295","The Brothers Grimm",2005,NA,NA
"78","tt0360717","King Kong",2005,NA,NA
"79","tt0361748","Inglourious Basterds",2009,NA,NA
"80","tt0362120","Scary Movie 4",2006,2021-02-20,NA
"81","tt0363547","Dawn of the Dead",2004,NA,NA
"82","tt0364569","Oldboy",2003,NA,NA
"83","tt0368447","The Village",2004,NA,NA
"84","tt0368891","National Treasure",2004,NA,NA
"85","tt0370263","Alien vs. Predator",2004,NA,NA
"86","tt0371724","The Hitchhiker's Guide to the Galaxy",2005,NA,NA
"87","tt0372588","Team America: World Police",2004,NA,NA
"88","tt0378194","Kill Bill: Vol. 2",2004,2022-01-08,NA
"89","tt0381061","Casino Royale",2006,NA,NA
"90","tt0387808","Idiocracy",2006,NA,NA
"91","tt0388795","Brokeback Mountain",2005,NA,NA
"92","tt0391198","The Grudge",2004,NA,NA
"93","tt0401792","Sin City",2005,NA,NA
"94","tt0407887","The Departed",2006,NA,NA
"95","tt0408236","Sweeney Todd: The Demon Barber of Fleet Street",2007,NA,NA
"96","tt0418455","Adam's Apples",2005,NA,NA
"97","tt0419724","The Haunted World of El Superbeasto",2009,NA,NA
"98","tt0421054","Domino",2005,NA,NA
"99","tt0421206","Gridiron Gang",2006,NA,NA
"100","tt0421715","The Curious Case of Benjamin Button",2008,NA,NA
"101","tt0425112","Hot Fuzz",2007,NA,NA
"102","tt0425210","Lucky Number Slevin",2006,NA,NA
"103","tt0429493","The A-Team",2010,NA,NA
"104","tt0434409","V for Vendetta",2005,NA,NA
"105","tt0437086","Alita: Battle Angel",2019,2021-02-13,"Stefan"
"106","tt0440963","The Bourne Ultimatum",2007,NA,NA
"107","tt0443274","Vantage Point",2008,NA,NA
"108","tt0446029","Scott Pilgrim vs. the World",2010,2021-06-05,NA
"109","tt0452608","Death Race",2008,NA,NA
"110","tt0462538","The Simpsons Movie",2007,2021-10-09,NA
"111","tt0463985","The Fast and the Furious: Tokyo Drift",2006,NA,NA
"112","tt0465316","Afro Samurai",2007,NA,NA
"113","tt0466713","Military Academy",2007,2022-06-11,NA
"114","tt0468569","The Dark Knight",2008,NA,NA
"115","tt0470752","Ex Machina",2014,NA,NA
"116","tt0472043","Apocalypto",2006,2022-03-26,NA
"117","tt0472399","The Mechanic",2011,2022-09-03,NA
